"","NSC","PANEL","CELL","NLOGGI50","INDN","TOTN","DRUGNAME"
"184",3053,"Non-Small Cell Lung","NCI-H322M",8,2,2,"Actinomycin D"
"185",3053,"Non-Small Cell Lung","NCI-H460",8,2,2,"Actinomycin D"
"186",3053,"Non-Small Cell Lung","HOP-62",8,2,2,"Actinomycin D"
"187",3053,"Non-Small Cell Lung","HOP-92",8,2,2,"Actinomycin D"
"188",3053,"Colon","HT29",8,2,2,"Actinomycin D"
"189",3053,"Colon","HCC-2998",8,1,2,"Actinomycin D"
"190",3053,"Colon","HCT-116",8,2,2,"Actinomycin D"
"191",3053,"Colon","SW-620",8,2,2,"Actinomycin D"
"192",3053,"Colon","COLO 205",8,2,2,"Actinomycin D"
"193",3053,"Colon","HCT-15",7.912,2,2,"Actinomycin D"
"194",3053,"Colon","KM12",8,2,2,"Actinomycin D"
"195",3053,"Breast","MCF7",8,1,2,"Actinomycin D"
"196",3053,"Ovarian","NCI/ADR-RES",6.854,2,2,"Actinomycin D"
"197",3053,"Breast","MDA-MB-231/ATCC",8,2,2,"Actinomycin D"
"198",3053,"Breast","HS 578T",8,2,2,"Actinomycin D"
"199",3053,"Melanoma","MDA-MB-435",8,2,2,"Actinomycin D"
"200",3053,"Melanoma","MDA-N",8,2,2,"Actinomycin D"
"201",3053,"Breast","BT-549",8,2,2,"Actinomycin D"
"202",3053,"Breast","T-47D",8,2,2,"Actinomycin D"
"203",3053,"Ovarian","OVCAR-3",8,2,2,"Actinomycin D"
"204",3053,"Ovarian","OVCAR-4",8,2,2,"Actinomycin D"
"205",3053,"Ovarian","OVCAR-5",8,2,2,"Actinomycin D"
"206",3053,"Ovarian","OVCAR-8",8,2,2,"Actinomycin D"
"207",3053,"Ovarian","IGROV1",8,2,2,"Actinomycin D"
"208",3053,"Ovarian","SK-OV-3",8,2,2,"Actinomycin D"
"209",3053,"Leukemia","CCRF-CEM",8,2,2,"Actinomycin D"
"210",3053,"Leukemia","K-562",8,1,2,"Actinomycin D"
"211",3053,"Leukemia","MOLT-4",8,1,2,"Actinomycin D"
"212",3053,"Leukemia","HL-60(TB)",8,2,2,"Actinomycin D"
"213",3053,"Leukemia","RPMI-8226",8,1,2,"Actinomycin D"
"214",3053,"Leukemia","SR",8,1,2,"Actinomycin D"
"215",3053,"Renal","UO-31",7.861,2,2,"Actinomycin D"
"216",3053,"Renal","SN12C",8,2,2,"Actinomycin D"
"217",3053,"Renal","A498",8,2,2,"Actinomycin D"
"218",3053,"Renal","CAKI-1",8,1,2,"Actinomycin D"
"219",3053,"Renal","RXF 393",8,2,2,"Actinomycin D"
"220",3053,"Renal","786-0",8,2,2,"Actinomycin D"
"221",3053,"Renal","ACHN",8,2,2,"Actinomycin D"
"222",3053,"Renal","TK-10",8,2,2,"Actinomycin D"
"223",3053,"Melanoma","LOX IMVI",8,1,2,"Actinomycin D"
"224",3053,"Melanoma","MALME-3M",8,2,2,"Actinomycin D"
"225",3053,"Melanoma","SK-MEL-2",8,2,2,"Actinomycin D"
"226",3053,"Melanoma","SK-MEL-5",8,2,2,"Actinomycin D"
"227",3053,"Melanoma","SK-MEL-28",8,1,2,"Actinomycin D"
"228",3053,"Melanoma","M14",8,2,2,"Actinomycin D"
"229",3053,"Melanoma","UACC-62",8,1,2,"Actinomycin D"
"230",3053,"Melanoma","UACC-257",8,2,2,"Actinomycin D"
"231",3053,"Prostate","PC-3",8,2,2,"Actinomycin D"
"232",3053,"Prostate","DU-145",8,2,2,"Actinomycin D"
"233",3053,"Central Nervous System","SNB-19",8,2,2,"Actinomycin D"
"234",3053,"Central Nervous System","SNB-75",8,2,2,"Actinomycin D"
"235",3053,"Central Nervous System","U251",8,2,2,"Actinomycin D"
"236",3053,"Central Nervous System","SF-268",8,2,2,"Actinomycin D"
"237",3053,"Central Nervous System","SF-295",8,2,2,"Actinomycin D"
"238",3053,"Central Nervous System","SF-539",8,2,2,"Actinomycin D"
"239",3088,"Non-Small Cell Lung","NCI-H23",5.063,2,3,"Chlorambucil"
"240",3088,"Non-Small Cell Lung","NCI-H522",5.226,2,3,"Chlorambucil"
"241",3088,"Non-Small Cell Lung","A549/ATCC",4.617,2,3,"Chlorambucil"
"242",3088,"Non-Small Cell Lung","EKVX",4.786,1,3,"Chlorambucil"
"243",3088,"Non-Small Cell Lung","NCI-H226",4.672,2,3,"Chlorambucil"
"244",3088,"Non-Small Cell Lung","NCI-H322M",4.368,2,3,"Chlorambucil"
"245",3088,"Non-Small Cell Lung","NCI-H460",5.489,2,3,"Chlorambucil"
"246",3088,"Non-Small Cell Lung","HOP-62",4.964,2,3,"Chlorambucil"
"247",3088,"Non-Small Cell Lung","HOP-92",4.444,2,3,"Chlorambucil"
"248",3088,"Non-Small Cell Lung","LXFL 529",4.421,2,3,"Chlorambucil"
"249",3088,"Small Cell Lung","DMS 114",4.909,2,3,"Chlorambucil"
"250",3088,"Small Cell Lung","DMS 273",5.224,2,3,"Chlorambucil"
"251",3088,"Colon","HT29",4.368,2,3,"Chlorambucil"
"252",3088,"Colon","HCC-2998",4.405,2,3,"Chlorambucil"
"253",3088,"Colon","HCT-116",4.44,2,3,"Chlorambucil"
"254",3088,"Colon","SW-620",4.515,2,3,"Chlorambucil"
"255",3088,"Colon","COLO 205",4.532,2,3,"Chlorambucil"
"256",3088,"Colon","DLD-1",4.412,2,3,"Chlorambucil"
"257",3088,"Colon","HCT-15",4.335,1,3,"Chlorambucil"
"258",3088,"Colon","KM12",4.402,2,3,"Chlorambucil"
"259",3088,"Colon","KM20L2",4.383,2,3,"Chlorambucil"
"260",3088,"Ovarian","OVCAR-3",4.76,2,3,"Chlorambucil"
"261",3088,"Ovarian","OVCAR-4",4.381,2,3,"Chlorambucil"
"262",3088,"Ovarian","OVCAR-5",4.463,2,3,"Chlorambucil"
"263",3088,"Ovarian","OVCAR-8",4.635,2,3,"Chlorambucil"
"264",3088,"Ovarian","IGROV1",4.34,2,3,"Chlorambucil"
"265",3088,"Ovarian","SK-OV-3",4.588,2,3,"Chlorambucil"
"266",3088,"Leukemia","CCRF-CEM",6.084,2,3,"Chlorambucil"
"267",3088,"Leukemia","K-562",4.574,2,3,"Chlorambucil"
"268",3088,"Leukemia","MOLT-4",5.669,2,3,"Chlorambucil"
"269",3088,"Leukemia","HL-60(TB)",5.94,2,3,"Chlorambucil"
"270",3088,"Leukemia","RPMI-8226",4.745,2,3,"Chlorambucil"
"271",3088,"Leukemia","SR",5.878,1,3,"Chlorambucil"
"272",3088,"Renal","UO-31",5.049,2,3,"Chlorambucil"
"273",3088,"Renal","SN12C",4.809,2,3,"Chlorambucil"
"274",3088,"Renal","A498",4.384,2,3,"Chlorambucil"
"275",3088,"Renal","CAKI-1",5.079,2,3,"Chlorambucil"
"276",3088,"Renal","RXF 393",4.69,1,3,"Chlorambucil"
"277",3088,"Renal","RXF-631",4.586,2,3,"Chlorambucil"
"278",3088,"Renal","786-0",4.948,2,3,"Chlorambucil"
"279",3088,"Renal","ACHN",5.104,2,3,"Chlorambucil"
"280",3088,"Renal","TK-10",4.584,2,3,"Chlorambucil"
"281",3088,"Renal","UOK-57",5.501,1,3,"Chlorambucil"
"282",3088,"Melanoma","LOX IMVI",4.994,2,3,"Chlorambucil"
"283",3088,"Melanoma","MALME-3M",4.254,1,3,"Chlorambucil"
"284",3088,"Melanoma","SK-MEL-2",4.377,2,3,"Chlorambucil"
"285",3088,"Melanoma","SK-MEL-5",4.462,2,3,"Chlorambucil"
"286",3088,"Melanoma","SK-MEL-28",4.412,2,3,"Chlorambucil"
"287",3088,"Melanoma","M14",4.702,2,3,"Chlorambucil"
"288",3088,"Melanoma","M19-MEL",4.44,2,3,"Chlorambucil"
"289",3088,"Melanoma","UACC-62",5.212,2,3,"Chlorambucil"
"290",3088,"Melanoma","UACC-257",4.457,2,3,"Chlorambucil"
"291",3088,"Central Nervous System","SNB-19",4.428,2,3,"Chlorambucil"
"292",3088,"Central Nervous System","SNB-75",4.926,2,3,"Chlorambucil"
"293",3088,"Central Nervous System","SNB-78",4.497,2,3,"Chlorambucil"
"294",3088,"Central Nervous System","U251",5.018,2,3,"Chlorambucil"
"295",3088,"Central Nervous System","SF-268",5.003,2,3,"Chlorambucil"
"296",3088,"Central Nervous System","SF-295",4.781,2,3,"Chlorambucil"
"297",3088,"Central Nervous System","SF-539",5.155,2,3,"Chlorambucil"
"298",3088,"Central Nervous System","XF 498",4.423,2,3,"Chlorambucil"
"299",6396,"Non-Small Cell Lung","NCI-H23",5.202,2,3,"Thiotepa"
"300",6396,"Non-Small Cell Lung","NCI-H522",4.552,2,3,"Thiotepa"
"301",6396,"Non-Small Cell Lung","A549/ATCC",4.89,2,3,"Thiotepa"
"302",6396,"Non-Small Cell Lung","EKVX",4.949,1,3,"Thiotepa"
"303",6396,"Non-Small Cell Lung","NCI-H226",4.919,2,3,"Thiotepa"
"304",6396,"Non-Small Cell Lung","NCI-H322M",4.379,2,3,"Thiotepa"
"305",6396,"Non-Small Cell Lung","NCI-H460",5.858,2,3,"Thiotepa"
"306",6396,"Non-Small Cell Lung","HOP-62",5.024,2,3,"Thiotepa"
"307",6396,"Non-Small Cell Lung","HOP-92",4.404,2,3,"Thiotepa"
"308",6396,"Non-Small Cell Lung","LXFL 529",4.433,2,3,"Thiotepa"
"309",6396,"Small Cell Lung","DMS 114",5.183,2,3,"Thiotepa"
"310",6396,"Small Cell Lung","DMS 273",5.376,2,3,"Thiotepa"
"311",6396,"Colon","HT29",4.415,2,3,"Thiotepa"
"312",6396,"Colon","HCC-2998",4.424,2,3,"Thiotepa"
"313",6396,"Colon","HCT-116",4.493,2,3,"Thiotepa"
"314",6396,"Colon","SW-620",4.439,2,3,"Thiotepa"
"315",6396,"Colon","COLO 205",4.419,2,3,"Thiotepa"
"316",6396,"Colon","DLD-1",4.395,2,3,"Thiotepa"
"317",6396,"Colon","HCT-15",4,1,3,"Thiotepa"
"318",6396,"Colon","KM12",4.408,2,3,"Thiotepa"
"319",6396,"Colon","KM20L2",4.408,2,3,"Thiotepa"
"320",6396,"Ovarian","OVCAR-3",4.392,2,3,"Thiotepa"
"321",6396,"Ovarian","OVCAR-4",4.413,2,3,"Thiotepa"
"322",6396,"Ovarian","OVCAR-5",4.465,2,3,"Thiotepa"
"323",6396,"Ovarian","OVCAR-8",4.505,2,3,"Thiotepa"
"324",6396,"Ovarian","IGROV1",4.356,2,3,"Thiotepa"
"325",6396,"Ovarian","SK-OV-3",4.677,2,3,"Thiotepa"
"326",6396,"Leukemia","CCRF-CEM",5.457,2,3,"Thiotepa"
"327",6396,"Leukemia","K-562",4.683,1,3,"Thiotepa"
"328",6396,"Leukemia","MOLT-4",5.426,2,3,"Thiotepa"
"329",6396,"Leukemia","HL-60(TB)",5.7,2,3,"Thiotepa"
"330",6396,"Leukemia","RPMI-8226",4.279,2,3,"Thiotepa"
"331",6396,"Renal","UO-31",4.591,2,3,"Thiotepa"
"332",6396,"Renal","SN12C",5.041,2,3,"Thiotepa"
"333",6396,"Renal","A498",4.448,2,3,"Thiotepa"
"334",6396,"Renal","CAKI-1",5.182,2,3,"Thiotepa"
"335",6396,"Renal","RXF 393",4,1,3,"Thiotepa"
"336",6396,"Renal","RXF-631",4.48,2,3,"Thiotepa"
"337",6396,"Renal","786-0",5.408,2,3,"Thiotepa"
"338",6396,"Renal","ACHN",5.091,2,3,"Thiotepa"
"339",6396,"Renal","TK-10",4.238,2,3,"Thiotepa"
"340",6396,"Renal","UOK-57",5.438,1,3,"Thiotepa"
"341",6396,"Melanoma","LOX IMVI",4.905,2,3,"Thiotepa"
"342",6396,"Melanoma","MALME-3M",4,1,3,"Thiotepa"
"343",6396,"Melanoma","SK-MEL-2",4.325,2,3,"Thiotepa"
"344",6396,"Melanoma","SK-MEL-5",4.415,2,3,"Thiotepa"
"345",6396,"Melanoma","SK-MEL-28",4.407,2,3,"Thiotepa"
"346",6396,"Melanoma","M14",4.814,2,3,"Thiotepa"
"347",6396,"Melanoma","M19-MEL",4.431,2,3,"Thiotepa"
"348",6396,"Melanoma","UACC-62",5.431,2,3,"Thiotepa"
"349",6396,"Melanoma","UACC-257",4.427,2,3,"Thiotepa"
"350",6396,"Central Nervous System","SNB-19",4.473,2,3,"Thiotepa"
"351",6396,"Central Nervous System","SNB-75",4.602,2,3,"Thiotepa"
"352",6396,"Central Nervous System","SNB-78",4.323,2,3,"Thiotepa"
"353",6396,"Central Nervous System","U251",4.845,2,3,"Thiotepa"
"354",6396,"Central Nervous System","SF-268",4.925,2,3,"Thiotepa"
"355",6396,"Central Nervous System","SF-295",5.045,2,3,"Thiotepa"
"356",6396,"Central Nervous System","SF-539",4.799,2,3,"Thiotepa"
"357",6396,"Central Nervous System","XF 498",4.435,2,3,"Thiotepa"
"358",8806,"Non-Small Cell Lung","NCI-H23",4.902,3,3,"Melphalan"
"359",8806,"Non-Small Cell Lung","NCI-H522",4.842,3,3,"Melphalan"
"360",8806,"Non-Small Cell Lung","A549/ATCC",4.777,3,3,"Melphalan"
"361",8806,"Non-Small Cell Lung","EKVX",4.426,3,3,"Melphalan"
"362",8806,"Non-Small Cell Lung","NCI-H226",4.575,3,3,"Melphalan"
"363",8806,"Non-Small Cell Lung","NCI-H322M",4.28,3,3,"Melphalan"
"364",8806,"Non-Small Cell Lung","NCI-H460",5.423,3,3,"Melphalan"
"365",8806,"Non-Small Cell Lung","HOP-62",5.363,3,3,"Melphalan"
"366",8806,"Non-Small Cell Lung","HOP-18",4.626,1,3,"Melphalan"
"367",8806,"Non-Small Cell Lung","HOP-92",4.823,3,3,"Melphalan"
"368",8806,"Small Cell Lung","DMS 114",4.832,2,3,"Melphalan"
"369",8806,"Small Cell Lung","DMS 273",5.157,3,3,"Melphalan"
"370",8806,"Colon","HT29",4.374,3,3,"Melphalan"
"371",8806,"Colon","HCC-2998",4.656,3,3,"Melphalan"
"372",8806,"Colon","HCT-116",4.68,3,3,"Melphalan"
"373",8806,"Colon","SW-620",4.765,3,3,"Melphalan"
"374",8806,"Colon","COLO 205",4.736,3,3,"Melphalan"
"375",8806,"Colon","DLD-1",4.611,3,3,"Melphalan"
